ID,Site,Const,I_10,I_1000
1,Kings,NO3,0.625,0.6
2,Kings,TN,0.45,0.5
3,Kings,SRP,1,1
4,Kings,TP,0.725,0.7
5,Kings,TSS,0.6,0.6
6,Kings,Cl,0.875,0.35
7,Kings,SO4,0.8,0.85
1,RC45,NO3,0.1,0.1
2,RC45,TN,0.1,0.1
3,RC45,SRP,0.85,0.85
4,RC45,TP,0.75,0.75
5,RC45,TSS,0.85,0.85
6,RC45,Cl,0.9,0.9
7,RC45,SO4,0.9,0.9
1,TB62,NO3,0.35,0.45
2,TB62,TN,1,1
3,TB62,SRP,0.85,0.85
4,TB62,TP,0.775,0.7
5,TB62,TSS,0.725,0.65
6,TB62,Cl,0.425,0.35
7,TB62,SO4,0.625,0.55
1,TBT,NO3,0.55,0.55
2,TBT,TN,0.65,0.65
3,TBT,SRP,0.4,0.4
4,TBT,TP,0.35,0.4
5,TBT,TSS,0.325,0.35
6,TBT,Cl,0.65,0.6
7,TBT,SO4,0.7,0.7
1,WEC,NO3,0.35,0.4
2,WEC,TN,0.65,0.65
3,WEC,SRP,0.75,0.8
4,WEC,TP,0.55,0.55
5,WEC,TSS,0.525,0.5
6,WEC,Cl,0.5,0.5
7,WEC,SO4,0.6,0.55
1,WFWR,NO3,0.65,0.65
2,WFWR,TN,0.7,0.7
3,WFWR,SRP,0.7,0.7
4,WFWR,TP,0.25,0.25
5,WFWR,TSS,0.25,0.25
6,WFWR,Cl,0.65,0.65
7,WFWR,SO4,0.6,0.55
1,WR45,NO3,1,1
2,WR45,TN,0.9,0.9
3,WR45,SRP,0.775,0.65
4,WR45,TP,0.6,0.6
5,WR45,TSS,0.35,0.35
6,WR45,Cl,0.7,0.7
7,WR45,SO4,0.65,0.6
1,Wyman,NO3,0.95,0.95
2,Wyman,TN,1,1
3,Wyman,SRP,0.35,0.4
4,Wyman,TP,0.6,0.6
5,Wyman,TSS,0.55,0.55
6,Wyman,Cl,0.525,0.45
7,Wyman,SO4,0.5,0.5
1,BARON,NO3,0.75,0.75
2,BARON,TN,0.825,0.8
3,BARON,SRP,0.8,0.85
4,BARON,TP,0.55,0.55
5,BARON,TSS,0.55,0.55
6,BARON,Cl,0.45,0.4
7,BARON,SO4,0.5,0.5
1,FC12,NO3,0.15,0.15
2,FC12,TN,0.6,0.55
3,FC12,SRP,0.875,1
4,FC12,TP,0.725,0.75
5,FC12,TSS,0.775,0.75
6,FC12,Cl,0.275,0.25
7,FC12,SO4,0.725,0.75
1,FCWSS,NO3,0.15,0.1
2,FCWSS,TN,0.1,0.15
3,FCWSS,SRP,0.25,0.3
4,FCWSS,TP,0.5,0.5
5,FCWSS,TSS,0.475,0.55
6,FCWSS,Cl,0.575,0.6
7,FCWSS,SO4,0.55,0.55
1,IR59,NO3,0.65,0.65
2,IR59,TN,0.7,0.7
3,IR59,SRP,0.65,0.65
4,IR59,TP,0.65,0.65
5,IR59,TSS,0.8,0.775
6,IR59,Cl,0.875,0.9
7,IR59,SO4,0.85,0.85
1,Osage,NO3,0.6,0.6
2,Osage,TN,0.95,0.95
3,Osage,SRP,0.575,0.6
4,Osage,TP,0.55,0.6
5,Osage,TSS,0.9,0.9
6,Osage,Cl,0.6,0.6
7,Osage,SO4,0.575,0.6
1,Sager,NO3,0.65,0.65
2,Sager,TN,0.65,0.65
3,Sager,SRP,0.6,0.6
4,Sager,TP,0.65,0.65
5,Sager,TSS,0.9,0.9
6,Sager,Cl,0.85,0.8
7,Sager,SO4,0.775,0.8
1,Savoy,NO3,0.6,0.6
2,Savoy,TN,1,1
3,Savoy,SRP,0.575,0.6
4,Savoy,TP,0.55,0.55
5,Savoy,TSS,0.55,0.55
6,Savoy,Cl,0.25,0.25
7,Savoy,SO4,0.35,0.35
1,Spring,NO3,1,1
2,Spring,TN,1,1
3,Spring,SRP,0.625,0.75
4,Spring,TP,0.65,0.65
5,Spring,TSS,0.875,0.95
6,Spring,Cl,1,1
7,Spring,SO4,0.75,0.75
1,Watts,NO3,0.65,0.65
2,Watts,TN,0.6,0.6
3,Watts,SRP,0.6,0.65
4,Watts,TP,0.5,0.55
5,Watts,TSS,0.6,0.6
6,Watts,Cl,0.95,0.95
7,Watts,SO4,0.475,0.5
