Site,Const,Trend_0.5,p_0.5,Span_MSE,Trend_MSE,p_MSE
Kings,NO3,7.348504119,0.004697791,0.625,7.36777612,0.00481565
Kings,TN,3.355055769,0.016531987,0.45,3.367721008,0.015850076
Kings,SRP,-39.40950071,1.01E-23,1,-39.19827056,3.57E-23
Kings,TP,-23.86024874,1.06E-15,0.725,-23.52707531,3.63E-15
Kings,TSS,-10.13928245,0.000429997,0.6,-9.923662135,0.000596495
Kings,Cl,1.97656847,0.010397074,0.875,2.100217526,0.006911875
Kings,SO4,5.894838368,6.12E-10,0.8,5.97214835,4.53E-10
RC45,NO3,8.294492466,0.006042251,0.6,8.408974681,0.005528369
RC45,TN,7.237362047,7.50E-06,0.6,7.194247578,9.03E-06
RC45,SRP,5.930183675,0.027682555,0.25,5.585479397,0.03230455
RC45,TP,7.912972377,0.007551205,0.4,7.806112272,0.007955042
RC45,TSS,0.194187018,0.959978805,0.5,0.194187018,0.959978805
RC45,Cl,0.936121267,0.281189384,0.9,0.937724116,0.285170273
RC45,SO4,1.183116175,0.258370938,0.6,1.133497178,0.280816116
TB62,NO3,-11.26847665,0.001670272,0.35,-10.60341158,0.002676496
TB62,TN,-5.175554078,0.112186615,1,-5.792870139,0.080152201
TB62,SRP,-1.033568747,0.872446677,0.85,-1.41647181,0.826625545
TB62,TP,17.86351602,0.003895567,0.775,18.10789413,0.003601498
TB62,TSS,21.1660447,0.053494916,0.725,22.5299635,0.041100219
TB62,Cl,20.9713444,3.63E-05,0.425,20.86222462,3.49E-05
TB62,SO4,-4.156620694,0.290001556,0.625,-3.94779131,0.318635991
TBT,NO3,-1.16704742,0.77466406,0.55,-1.194831888,0.770203492
TBT,TN,-1.299867868,0.630734264,0.65,-1.45690366,0.591505501
TBT,SRP,-7.103738075,0.106948186,0.4,-7.225318622,0.097071392
TBT,TP,4.619716277,0.418389765,0.35,4.972758311,0.372898874
TBT,TSS,3.613546515,0.743858496,0.325,4.413522946,0.682649858
TBT,Cl,18.84918206,0.000846814,0.65,18.62365931,0.001065146
TBT,SO4,8.621837097,0.007643881,0.7,8.488672482,0.009005438
WEC,NO3,-2.553021334,0.036441361,0.35,-2.439057295,0.043526069
WEC,TN,-0.851779476,0.404916183,0.65,-0.889386908,0.386748222
WEC,SRP,-3.724530682,0.087728815,0.75,-3.786331052,0.083772841
WEC,TP,0.016689517,0.99284936,0.55,0.074517426,0.968128956
WEC,TSS,-7.32777947,0.00288079,0.525,-7.297611386,0.003024251
WEC,Cl,-2.151507646,0.058550677,0.5,-2.151507646,0.058550677
WEC,SO4,2.727990269,0.000571397,0.6,2.826397778,0.000373964
WFWR,NO3,-6.515566697,0.028482654,0.65,-6.681376845,0.02513715
WFWR,TN,0.536233186,0.688691631,0.7,0.681118416,0.611835055
WFWR,SRP,0.751581453,0.742992812,0.7,0.999543392,0.664166785
WFWR,TP,3.001639807,0.249533434,0.25,2.183444536,0.385435395
WFWR,TSS,-4.747668657,0.144412485,0.25,-5.53261759,0.078082667
WFWR,Cl,6.461310712,1.08E-05,0.65,6.577474204,7.74E-06
WFWR,SO4,4.073689536,1.80E-05,0.6,4.094307399,1.74E-05
WR45,NO3,-3.360215487,0.237386893,1,-3.426987209,0.230838857
WR45,TN,1.240482625,0.393346428,0.9,1.370418435,0.350238875
WR45,SRP,2.163948457,0.390070561,0.775,2.331302284,0.358273303
WR45,TP,1.38771716,0.448966504,0.6,1.448106547,0.430574997
WR45,TSS,-0.899736453,0.706255313,0.35,-0.862568071,0.714714553
WR45,Cl,-0.111791544,0.941788446,0.7,-0.184871027,0.904381928
WR45,SO4,0.875259919,0.408214754,0.65,0.866170105,0.415580652
Wyman,NO3,-0.893247681,0.690412275,0.95,-0.80768012,0.720755504
Wyman,TN,3.711542983,0.003287234,1,3.81791152,0.002817283
Wyman,SRP,1.64773863,0.449328499,0.35,1.295927618,0.547320599
Wyman,TP,3.073471813,0.144448881,0.6,3.203533666,0.129786602
Wyman,TSS,-0.944406505,0.739876003,0.55,-0.891563954,0.754274421
Wyman,Cl,0.982337098,0.428839601,0.525,0.993242634,0.424361703
Wyman,SO4,-0.384815068,0.767437237,0.5,-0.384815068,0.767437237
Baron,NO3,-3.558370414,0.363934557,0.75,-3.829422763,0.329842052
Baron,TN,-2.751967182,0.167907404,0.825,-3.036059397,0.131100893
Baron,SRP,-7.370360706,0.001134953,0.8,-7.279229739,0.001432795
Baron,TP,-3.775010274,0.040394989,0.55,-3.733129978,0.043098109
Baron,TSS,-9.766950204,0.004721462,0.55,-9.673060992,0.005240385
Baron,Cl,1.029352603,0.086851446,0.45,1.02709643,0.086403904
Baron,SO4,4.399012575,4.48E-06,0.5,4.399012575,4.48E-06
FC12,NO3,2.284661407,0.001108506,0.15,1.924480428,0.003414761
FC12,TN,2.394070385,8.44E-05,0.6,2.374221386,0.000103007
FC12,SRP,4.1430637,0.001796807,0.875,4.075873584,0.002264456
FC12,TP,6.331946999,1.71E-05,0.725,6.378139022,1.58E-05
FC12,TSS,4.787052598,0.150413445,0.775,5.089816709,0.128687432
FC12,Cl,-0.804134105,0.209647923,0.275,-0.701913439,0.262311998
FC12,SO4,3.216359959,0.003465889,0.725,3.275999389,0.003020305
FCWSS,NO3,2.808664204,0.06981773,0.15,2.788330638,0.052244397
FCWSS,TN,2.806391925,0.036892391,0.1,2.649526991,0.026175671
FCWSS,SRP,-0.112972499,0.940820434,0.25,-0.456166359,0.758260114
FCWSS,TP,1.876760481,0.194521104,0.5,1.876760481,0.194521104
FCWSS,TSS,-5.490569936,0.017385196,0.475,-5.466820251,0.017789309
FCWSS,Cl,0.073173666,0.843502042,0.575,0.078914232,0.831698469
FCWSS,SO4,-2.143544518,0.0209633,0.55,-2.150146379,0.020764875
IR59,NO3,-3.275493115,0.001514179,0.65,-3.28563609,0.001549969
IR59,TN,0.094752957,0.884543643,0.7,0.112828249,0.863431068
IR59,SRP,-5.160120791,0.006006027,0.65,-5.160325962,0.006129959
IR59,TP,1.983102409,0.256181916,0.65,2.037664399,0.245098894
IR59,TSS,3.751518977,0.209662358,0.8,3.897210884,0.195484365
IR59,Cl,2.236641758,0.001843799,0.875,2.257799506,0.001756333
IR59,SO4,4.834116419,1.31E-14,0.85,4.891258793,9.35E-15
Osage,NO3,-2.539093913,0.078158766,0.6,-2.544735045,0.078370957
Osage,TN,-0.415250293,0.616277401,0.95,-0.658898405,0.431334109
Osage,SRP,-2.990564463,0.038119439,0.575,-2.993044713,0.03836289
Osage,TP,-1.254434905,0.398020401,0.55,-1.204649951,0.417681157
Osage,TSS,-3.13978978,0.343177979,0.9,-2.601509443,0.435123365
Osage,Cl,4.166630273,3.27E-07,0.6,4.198303522,2.83E-07
Osage,SO4,6.133564143,1.71E-11,0.575,6.147503818,1.68E-11
Sager,NO3,-2.822772636,0.129547975,0.65,-2.835400062,0.131232585
Sager,TN,-2.55461578,0.072507256,0.65,-2.510624611,0.080350614
Sager,SRP,-2.133055275,0.687243367,0.6,-2.292604578,0.665721496
Sager,TP,0.446278972,0.917455953,0.65,0.374765575,0.931060235
Sager,TSS,-12.3656902,0.035092852,0.9,-11.68604299,0.04722608
Sager,Cl,9.992093776,1.69E-05,0.85,10.47552257,8.42E-06
Sager,SO4,0.618664723,0.698620853,0.775,-0.163981472,0.919634824
Savoy,NO3,-5.415890405,1.26E-06,0.6,-5.458633747,1.06E-06
Savoy,TN,-2.645621404,0.001138988,1,-2.749579014,0.000764748
Savoy,SRP,-7.328413187,0.002158057,0.575,-7.398954651,0.002003108
Savoy,TP,-0.80003245,0.66866998,0.55,-0.838131801,0.654388582
Savoy,TSS,-0.789770785,0.792395706,0.55,-0.787534219,0.793333651
Savoy,Cl,1.482179518,0.063167961,0.25,1.585436889,0.041028725
Savoy,SO4,3.500800194,8.82E-07,0.35,3.495993747,6.54E-07
Spring,NO3,-4.551877389,0.061367902,1,-3.365776792,0.175664129
Spring,TN,-5.511751492,0.002974614,1,-5.245186281,0.005353092
Spring,SRP,-11.06338059,0.006853415,0.625,-11.22239106,0.006498859
Spring,TP,-7.159727854,0.090149835,0.65,-7.288113332,0.088250173
Spring,TSS,4.636706897,0.595964803,0.875,3.42879803,0.699470405
Spring,Cl,2.457941364,0.529397927,1,3.065294412,0.43496517
Spring,SO4,2.039358279,0.782655396,0.75,2.998255548,0.686281348
Watts,NO3,-1.292551412,0.092164565,0.65,-1.314653433,0.088472373
Watts,TN,-0.241565948,0.678009415,0.6,-0.221475716,0.704254252
Watts,SRP,-7.428214874,0.000302079,0.6,-7.46781799,0.00028759
Watts,TP,-0.585513267,0.729837977,0.5,-0.585513267,0.729837977
Watts,TSS,2.83253258,0.27362319,0.6,2.990562713,0.248905278
Watts,Cl,1.696036275,0.309383924,0.95,1.714504401,0.308445114
Watts,SO4,4.969301927,1.54E-17,0.475,4.946913158,1.98E-17
