"","NO3test5to30stats.X.5.30.","NO3test5to30stats.NO3test5to30modes","NO3test5to30stats.NO3test5to30stdevs","TNtest5to30stats.X.5.30.","TNtest5to30stats.TNtest5to30modes","TNtest5to30stats.TNtest5to30stdevs","SRPtest5to30stats.X.5.30.","SRPtest5to30stats.SRPtest5to30modes","SRPtest5to30stats.SRPtest5to30stdevs","TPtest5to30stats.X.5.30.","TPtest5to30stats.TPtest5to30modes","TPtest5to30stats.TPtest5to30stdevs","TSStest5to30stats.X.5.30.","TSStest5to30stats.TSStest5to30modes","TSStest5to30stats.TSStest5to30stdevs","Cltest5to30stats.X.5.30.","Cltest5to30stats.Cltest5to30modes","Cltest5to30stats.Cltest5to30stdevs","SO4test5to30stats.X.5.30.","SO4test5to30stats.SO4test5to30modes","SO4test5to30stats.SO4test5to30stdevs"
"1",5,0.35,0.107551601284107,5,0.2,0.120390521018145,5,0.55,0.123408232451221,5,0.5,0.118511172296892,5,0.55,0.116741472616082,5,0.75,0.168122889941997,5,0.6,0.165134453567698
"2",6,0.25,0.0920292766194652,6,0.3,0.107380688416949,6,0.5,0.143459444599852,6,0.55,0.107873697878016,6,0.55,0.10973065354098,6,0.75,0.190530944511191,6,0.45,0.169540194499772
"3",7,0.2,0.10412414097938,7,0.2,0.110638222719504,7,0.5,0.125762977583279,7,0.5,0.119133778345426,7,0.55,0.0894484231731519,7,0.65,0.177327093133519,7,0.6,0.122428654775768
"4",8,0.25,0.0927196784696226,8,0.25,0.0971218464673345,8,0.5,0.132480264221367,8,0.55,0.121676218057665,8,0.45,0.0901472717959057,8,0.75,0.163722637533166,8,0.55,0.145437412024302
"5",9,0.25,0.0860054578239672,9,0.35,0.0956662992716167,9,0.25,0.128098335951211,9,0.5,0.120305732979585,9,0.55,0.0996166120070097,9,0.75,0.165211676219278,9,0.45,0.134407239843875
"6",10,0.25,0.0916348120285637,10,0.25,0.0880688506168872,10,0.55,0.122956770236286,10,0.5,0.109213328034669,10,0.5,0.107873697878016,10,0.75,0.162131843552948,10,0.6,0.102100390772604
"7",11,0.3,0.0762648446573665,11,0.4,0.0923668374096527,11,0.55,0.124298028946561,11,0.55,0.108251408059844,11,0.55,0.0948898394595178,11,0.45,0.167456969800286,11,0.5,0.0774333156163866
"8",12,0.3,0.0792116771437038,12,0.25,0.097415583549899,12,0.45,0.101865257140229,12,0.55,0.112435922794692,12,0.6,0.107023743312655,12,0.6,0.173840179944871,12,0.6,0.130149051130633
"9",13,0.3,0.0755928946018455,13,0.3,0.0932464367103841,13,0.55,0.107779063507772,13,0.55,0.104080032000497,13,0.6,0.0800255061380624,13,0.75,0.171856608477972,13,0.45,0.122374467124812
"10",14,0.25,0.0794175223558558,14,0.25,0.0904862149835035,14,0.55,0.115921331522895,14,0.55,0.111574995370095,14,0.5,0.0806921587875546,14,0.75,0.17883123956652,14,0.45,0.105443669069977
"11",15,0.25,0.0704504457482169,15,0.25,0.0873708960088413,15,0.6,0.118325907594927,15,0.55,0.105579064096582,15,0.55,0.0730180296437889,15,0.55,0.162571805171545,15,0.55,0.086076615137152
"12",16,0.3,0.0751596939312338,16,0.3,0.0852427506044487,16,0.55,0.096890428330361,16,0.55,0.102364893535682,16,0.55,0.0893342725100393,16,0.65,0.159913879884117,16,0.6,0.11255837487767
"13",17,0.3,0.0741551049614033,17,0.25,0.107741186485513,17,0.4,0.120373568188234,17,0.6,0.111116779900743,17,0.6,0.0889221168053418,17,0.6,0.167603151302506,17,0.6,0.0956396297332346
"14",18,0.25,0.0735679610833356,18,0.3,0.0685193254431454,18,0.45,0.105583896422103,18,0.55,0.0992625872345155,18,0.6,0.0682806334033245,18,0.7,0.159386579211215,18,0.6,0.0970798114744686
"15",19,0.2,0.079179465488863,19,0.3,0.0756198872449488,19,0.55,0.131168220392046,19,0.6,0.110582871316364,19,0.55,0.0721393209883006,19,0.55,0.176995906789982,19,0.6,0.0882077788230605
"16",20,0.3,0.0842978199538967,20,0.3,0.0873416935293301,20,0.55,0.136366852157505,20,0.6,0.0724850441998421,20,0.6,0.0692599362944423,20,0.6,0.162568666810586,20,0.6,0.0845395692886485
"17",21,0.25,0.0656599153958937,21,0.25,0.0886635465667594,21,0.25,0.123590006861066,21,0.55,0.0904918532808566,21,0.6,0.0797252936587856,21,0.6,0.150169971725919,21,0.6,0.0893514044063537
"18",22,0.25,0.0701383472510013,22,0.25,0.0931807547792166,22,0.5,0.105094709472854,22,0.55,0.09963709660768,22,0.5,0.0692820323027551,22,0.65,0.17240495754982,22,0.5,0.100529211918624
"19",23,0.25,0.0578174466995659,23,0.25,0.0943560343830208,23,0.5,0.123321382028041,23,0.55,0.120982373484229,23,0.55,0.0573656371578894,23,0.7,0.153914898298921,23,0.6,0.114285714285714
"20",24,0.25,0.0694365074829414,24,0.25,0.0775649826314184,24,0.55,0.125637151661246,24,0.55,0.081597568991399,24,0.6,0.0822142546853609,24,0.65,0.185944911745607,24,0.6,0.0793403929860678
"21",25,0.25,0.0686978002202548,25,0.3,0.0722029452731843,25,0.55,0.124359583958974,25,0.55,0.120017005597761,25,0.55,0.0865966488487674,25,0.65,0.161336889261987,25,0.55,0.0922728872111723
"22",26,0.25,0.0857380919321352,26,0.25,0.0898354504817853,26,0.45,0.116776430386776,26,0.55,0.109264703862703,26,0.55,0.0897217922246318,26,0.65,0.147302271481717,26,0.6,0.0960229564388918
"23",27,0.25,0.0679510628230016,27,0.25,0.0802801218184407,27,0.25,0.132001855274532,27,0.55,0.114379425865076,27,0.5,0.0458591454836415,27,0.7,0.15255979088842,27,0.5,0.0839156525011507
"24",28,0.2,0.0730110419381751,28,0.25,0.0893571143085486,28,0.6,0.123304832154515,28,0.55,0.100919244337,28,0.6,0.0638557046817915,28,0.7,0.152208235449911,28,0.6,0.0785649347965862
"25",29,0.25,0.0591090310445063,29,0.3,0.0870198194642567,29,0.6,0.137399313784936,29,0.55,0.0871545659581123,29,0.6,0.0656909896595338,29,0.65,0.101161620535595,29,0.6,0.0892371296385224
"26",30,0.25,0.0606848668221699,30,0.3,0.0822142546853609,30,0.6,0.113789099581961,30,0.55,0.116496474502144,30,0.55,0.0625071424490262,30,0.6,0.14991494187011,30,0.6,0.0707106781186548
