Date,Turbidity
2009-07-07,5.5
2009-07-14,8.7
2009-07-21,7.2
2009-07-28,9.4
2009-08-04,7
2009-08-18,7.9
2009-08-25,5.6
2009-09-01,5.8
2009-09-08,9.05
2009-09-10,23
2009-09-15,7.3
2009-09-22,22.9
2009-09-29,6.9
2009-10-06,4.7
2009-10-13,24.6
2009-10-20,5.7
2009-10-27,5.2
2009-10-30,357
2009-11-03,9.4
2009-11-10,3.5
2009-11-17,2.9
2009-11-23,2.5
2009-12-01,1.5
2009-12-08,1.2
2009-12-15,3.3
2009-12-21,1.2
2009-12-29,2.8
2010-01-05,3.7
2010-01-12,1.9
2010-01-19,3.7
2010-01-26,8.7
2010-02-03,9.1
2010-02-10,8.7
2010-02-16,5.5
2010-02-23,10.8
2010-03-02,3.55
2010-03-08,4.9
2010-03-16,3.6
2010-03-22,24.8
2010-03-30,10.2
2010-04-07,10
2010-04-13,6.9
2010-04-20,4.5
2010-04-27,7
2010-05-04,6.5
2010-05-11,11.5
2010-05-14,72.4
2010-05-15,160
2010-05-18,25.9
2010-05-26,15.85
2010-06-01,10.9
2010-06-08,11.4
2010-06-15,9.8
2010-06-23,8.6
2010-08-04,4.8
2010-08-09,4.9
2010-08-18,5.6
2010-08-25,6.4
2010-09-02,11.4
2010-09-08,7.9
2010-09-15,29.3
2010-09-23,8
2010-09-30,5.1
2010-10-07,2.8
2010-10-13,2.9
2010-10-21,4
2010-10-28,3.1
2010-11-03,2.8
2010-11-11,2.4
2010-11-16,1.6
2010-11-29,3.2
2010-12-09,1.6
2010-12-16,1.4
2011-01-06,2
2011-01-12,0.9
2011-01-21,1.7
2011-01-26,1.6
2011-02-06,1.8
2011-02-12,2.5
2011-02-14,15.2
2011-02-25,11.8
2011-02-28,406
2011-03-14,26
2011-03-31,3.7
2011-04-07,5.8
2011-04-11,25.4
2011-04-20,5.9
2011-04-23,325
2011-04-25,392
2011-04-26,609
2011-05-11,8.1
2011-05-18,5.7
2011-05-24,398
2011-06-09,5.95
2011-06-16,6.5
2011-07-14,4.4
2011-07-20,3.8
2011-08-04,3.4
2011-08-10,5.8
2011-08-17,3.5
2011-08-31,2.7
2011-09-07,3.9
2011-09-15,3.6
2011-09-19,17.8
2011-09-29,6.4
2011-10-01,9.3
2011-10-05,2.3
2011-10-27,2.8
2011-11-02,2.0
2011-11-09,143.0
2011-11-16,5.7
2011-11-30,2.3
2011-12-07,3.5
2011-12-15,388.0
2012-01-04,1.4
2012-01-11,2.9
2012-01-18,1.9
2012-01-26,83.0
2012-02-01,5.8
2012-02-04,177.0
2012-02-15,3.4
2012-03-15,6.9
2012-03-20,237.0
2012-03-22,60.1
2012-03-28,15.4
2012-04-11,5.4
2012-04-16,21.0
2012-04-25,5.8
2012-05-02,4.4
2012-05-09,3.2
2012-05-17,5.0
2012-05-23,2.4
2012-05-31,5.8
2012-06-04,11.3
2012-06-13,4.6
2012-06-20,3.6
2012-06-28,4.4
2012-07-11,5.1
2012-07-18,5.4
2012-07-25,5.0
2012-08-01,4.8
2012-08-16,4.0
2012-08-21,4.6
2012-08-27,19.2
2012-09-04,7.9
2012-09-06,9.2
2012-09-11,6.5
2012-09-25,4.0
2012-07-18,4.5
2012-10-13,22.5
2012-10-02,2.4
2012-10-09,1.5
2012-10-16,4.4
2012-10-23,2.6
2012-11-01,1.6
2012-11-15,1.9
2012-11-27,0.6
2012-12-04,4.3
2012-12-11,1.0
2013-01-03,1.0
2013-01-11,1.5
2013-01-15,0.5
2013-01-22,1.0
2013-01-30,321.0
2013-02-05,3.2
2013-02-12,3.4
2013-02-19,1.2
2013-02-26,2.0
2013-03-05,4.2
2013-03-10,87.4
2013-03-19,3.5
2013-03-26,1.4
2013-04-05,10.2
2013-04-11,124.0
2013-04-18,201.0
2013-04-25,6.9
2013-05-03,5.7
2013-05-10,456.0
2013-05-21,203.0
2013-05-21,13.9
2013-05-29,6.2
2013-06-07,5.3
2013-06-26,4.0
2013-06-26,3.8
2013-07-10,3.9
2013-07-17,4.4
2013-08-01,35.8
2013-08-08,351.0
2013-08-15,10.5
2013-08-21,4.1
2013-08-29,3.4
2013-09-05,3.0
2013-09-12,4.6
2013-09-19,3.1
2013-09-20,50.9
2013-10-03,4.5
2013-10-06,81.1
2013-10-21,3.0
2013-10-31,23.5
2013-11-07,4.2
2013-11-14,1.6
2013-11-21,2.1
2013-12-03,1.7
2013-12-13,1.2
2013-12-20,3.3
2013-12-21,60.2
2014-01-08,1.7
2014-01-11,108.0
2014-01-23,2.8
2014-01-29,2.4
2014-02-07,1.6
2014-02-13,2.5
2014-02-20,2.4
2014-02-26,1.8
2014-03-06,2.0
2014-03-13,4.0
2014-03-17,148.0
2014-03-28,6.2
2014-03-29,36.8
2014-04-03,6.3
2014-04-04,79.6
2014-04-08,27.2
2014-04-15,4.0
2014-04-24,5.4
2014-04-29,7.5
2014-05-09,66.5
2014-05-13,121.0
2014-05-15,14.1
2014-05-21,8.7
2014-05-29,3.5
2014-06-03,15.7
2014-06-16,16.6
2014-07-02,8.6
2014-07-07,6.1
2014-07-22,6.0
2014-07-31,12.1
2014-08-06,3.9
2014-08-13,4.4
2014-08-21,8.1
2014-08-28,7.0
2014-09-03,34.4
2014-09-11,7.1
2014-09-18,16.0
2014-09-24,6.0
2014-10-01,6.1
2014-10-09,4.3
2014-10-10,523.0
2014-10-13,299.0
2014-10-23,5.0
2014-10-29,2.9
2014-11-06,6.8
2014-11-13,1.0
2014-11-19,1.0
2014-12-02,1.8
2014-12-11,2.0
2014-12-17,7.4
2015-01-05,21.3
2015-01-08,2.5
2015-01-15,1.7
2015-01-21,1.9
2015-01-29,2.0
2015-02-04,1.4
2015-02-11,1.3
2015-02-18,1.3
2015-02-25,2.9
2015-03-05,14.2
2015-03-11,32.5
2015-03-14,226.0
2015-03-19,21.5
2015-03-26,283.0
2015-04-01,7.9
2015-04-14,6.9
2015-04-22,6.7
2015-04-29,4.7
2015-05-08,271.0
2015-05-11,186.0
2015-05-17,315.0
2015-05-24,292.0
2015-06-01,12.8
2015-06-20,210.0
