"","Date","concentrations.NO3","Flow"
"1",2009-07-07,4.065,140
"2",2009-07-14,3.963,120
"3",2009-07-21,3.704,263
"4",2009-07-28,3.707,124
"5",2009-08-04,3.805,91
"6",2009-08-11,2.788,222
"7",2009-08-18,3.884,83
"8",2009-08-25,3.607,86
"9",2009-09-01,3.883,79
"10",2009-09-08,3.526,79
"11",2009-09-10,2.174,292
"12",2009-09-15,3.7915,103
"13",2009-09-22,1.5275,499
"14",2009-09-29,3.809,115
"15",2009-10-06,4.332,124
"16",2009-10-13,3.738,598
"17",2009-10-20,4.372,211
"18",2009-10-27,3.479,371
"19",2009-11-03,4.174,290
"20",2009-11-10,4.449,191
"21",2009-11-17,4.392,175
"22",2009-11-23,4.286,135
"23",2009-12-01,4.737,119
"24",2009-12-08,4.747,110
"25",2009-12-15,4.545,96
"26",2009-12-21,4.524,81
"27",2009-12-29,4.585,91
"28",2010-01-05,4.354,85
"29",2010-01-12,4.054,82
"30",2010-01-19,3.615,87
"31",2010-01-26,3.64,152
"32",2010-02-03,3.438,192
"33",2010-02-10,4.104,210
"34",2010-02-16,4.288,153
"35",2010-02-23,3.684,182
"36",2010-03-02,4.427,125
"37",2010-03-08,4.28,109
"38",2010-03-16,4.187,91
"39",2010-03-22,2.142,462
"40",2010-03-30,4.198,276
"41",2010-04-07,4.095,215
"42",2010-04-13,4.197,168
"43",2010-04-20,4.3025,137
"44",2010-04-24,1.912,361
"45",2010-04-27,3.736,156
"46",2010-05-04,3.888,120
"47",2010-05-11,3.429,153
"48",2010-05-14,0.978,1020
"49",2010-05-18,3.32,274
"50",2010-05-26,3.814,308
"51",2010-06-01,4.005,178
"52",2010-06-08,4.011,153
"53",2010-06-15,3.8105,153
"54",2010-06-23,3.498,139
"55",2010-08-04,3.467,43
"56",2010-08-09,3.313,37
"57",2010-08-18,3.472,34
"58",2010-08-25,3.277,59
"59",2010-09-02,2.881,164
"60",2010-09-08,3.691,70
"61",2010-09-15,2.664,172
"62",2010-09-23,3.838,74
"63",2010-09-30,3.994,73
"64",2010-10-07,4.251,62
"65",2010-10-13,4.162,62
"66",2010-10-21,3.84,72
"67",2010-10-28,3.582,100
"68",2010-11-03,4.049,91
"69",2010-11-11,3.73,102
"70",2010-11-16,3.261,103
"71",2010-11-29,3.274,96
"72",2010-12-09,4.31,80
"73",2010-12-16,4.596,75
"74",2011-01-06,3.953,92
"75",2011-01-12,4.012,84
"76",2011-01-21,4.017,81
"77",2011-01-26,3.792,80
"78",2011-02-06,3.906,65
"79",2011-02-12,3.872,72
"80",2011-02-15,2.715,142
"81",2011-02-24,3.138,120
"82",2011-02-28,2.216,139
"83",2011-03-08,3.22,100
"84",2011-03-14,2.23,164
"85",2011-03-31,3.466,91
"86",2011-04-07,3.312,83
"87",2011-04-11,1.704,191
"88",2011-04-20,2.679,92
"89",2011-04-23,1.344,3960
"90",2011-04-25,1.293,15800
"91",2011-04-26,2.962,3260
"92",2011-05-11,7.783,228
"93",2011-05-18,4.547,174
"94",2011-05-23,0.776,6670
"95",2011-06-09,5.152,214
"96",2011-06-15,4.0655,200
"97",2011-07-14,3.726,169
"98",2011-07-20,4.281,96
"99",2011-07-28,3.65,92
"100",2011-08-04,3.01,87
"101",2011-08-10,2.18,220
"102",2011-08-17,2.82,130
"103",2011-08-31,3.57,87
"104",2011-09-07,3.105,78
"105",2011-09-15,3.241,77
"106",2011-09-19,1.953,203
"107",2011-09-29,3.417,101
"108",2011-10-05,3.502,83
"109",2011-10-12,3.281,218
"110",2011-10-27,3.181,112
"111",2011-11-02,1.87,96
"112",2011-11-08,0.851,2150
"113",2011-11-16,3.726,158
"114",2011-11-30,4.082,128
"115",2011-12-07,3.669,134
"116",2012-01-04,4.383,102
"117",2012-01-12,4.113,96
"118",2012-01-18,3.931,89
"119",2012-01-25,1.725,343
"120",2012-02-01,4.033,119
"121",2012-02-08,3.895,137
"122",2012-02-15,4.101,124
"123",2012-02-29,3.995,101
"124",2012-03-15,3.234,95
"125",2012-03-20,0.766,707
"126",2012-03-28,3.981,192
"127",2012-04-11,4.022,146
"128",2012-04-15,3.633,206
"129",2012-04-25,4.04,115
"130",2012-04-30,2.751,164
"131",2012-05-09,3.45,98
"132",2012-05-17,3.561,83
"133",2012-05-23,3.599,75
"134",2012-05-31,3.016,97
"135",2012-06-06,3.176,97
"136",2012-06-13,2.917,76
"137",2012-06-20,2.939,108
"138",2012-06-28,2.816,55
"139",2012-07-11,2.675,58
"140",2012-07-18,2.756,55
"141",2012-07-25,2.479,53
"142",2012-08-01,2.426,61
"143",2012-08-16,2.578,61
"144",2012-08-22,2.659,53
"145",2012-08-27,1.827,361
"146",2012-09-06,2.888,78
"147",2012-09-12,2.803,80
"148",2012-09-27,2.897,80
"149",2012-10-03,4.951,62
"150",2012-10-10,3.603,58
"151",2012-10-12,3.304,256
"152",2012-10-16,3.533,115
"153",2012-10-25,3.192,80
"154",2012-11-01,4.835,70
"155",2012-11-08,4.417,71
"156",2012-11-15,4.518,76
"157",2012-11-29,4.665,64
"158",2012-12-06,4.813,93
"159",2012-12-13,5.443,68
"160",2013-01-03,3.333,81
"161",2013-01-11,7.55,72
"162",2013-01-14,5.975,80
"163",2013-01-24,4.498,68
"164",2013-01-30,1.066,504
"165",2013-02-07,5.3405,88
"166",2013-02-13,5.596,97
"167",2013-02-21,5.593,108
"168",2013-02-21,1.835,108
"169",2013-02-28,4.033,99
"170",2013-03-07,3.928,80
"171",2013-03-10,0.851,765
"172",2013-03-20,0.066,118
"173",2013-03-28,4.867,104
"174",2013-04-04,4.715,143
"175",2013-04-18,1.611,3230
"176",2013-04-25,4.321,199
"177",2013-04-29,3.62,261
"178",2013-05-09,3.851,414
"179",2013-05-21,3.393,430
"180",2013-05-31,2.991,346
"181",2013-06-07,3.591,172
"182",2013-06-13,3.779,134
"183",2013-06-26,1.013,99
"184",2013-07-10,4.164,80
"185",2013-07-17,3.947,78
"186",2013-08-01,3.13,158
"187",2013-08-08,0.639,2100
"188",2013-08-15,0.079,283
"189",2013-08-21,3.84,182
"190",2013-08-29,4.216,140
"191",2013-09-05,4.223,123
"192",2013-09-12,4.315,114
"193",2013-09-19,4.385,106
"194",2013-09-20,2.445,367
"195",2013-10-03,3.886,118
"196",2013-10-05,1.89,553
"197",2013-10-21,3.875,120
"198",2013-10-21,3.866,120
"199",2013-10-30,3.783,235
"200",2013-11-07,3.622,198
"201",2013-11-14,4.565,118
"202",2013-11-21,3.954,143
"203",2013-12-03,4.044,88
"204",2013-12-13,4.531,100
"205",2013-12-20,4.561,138
"206",2014-01-08,4.883,112
"207",2014-01-10,3.124,260
"208",2014-01-23,4.034666667,118
"209",2014-01-29,5.201,105
"210",2014-02-06,5.958,95
"211",2014-02-13,5.435,93
"212",2014-02-20,4.103,92
"213",2014-02-26,7.166,84
"214",2014-03-06,5.204,99
"215",2014-03-13,4.512,93
"216",2014-03-16,1.696,598
"217",2014-03-28,4.04,181
"218",2014-04-03,4.002,164
"219",2014-04-08,3.986,167
"220",2014-04-15,3.368,139
"221",2014-04-24,4.282,122
"222",2014-04-29,3.262,118
"223",2014-05-08,2.9385,293
"224",2014-05-13,2.149,429
"225",2014-05-15,2.837,214
"226",2014-05-21,3.379,134
"227",2014-05-29,5.48,128
"228",2014-06-03,3.294,176
"229",2014-06-16,2.879,146
"230",2014-07-02,2.953,118
"231",2014-07-07,3.167,94
"232",2014-07-22,3.191,84
"233",2014-07-31,2.574,163
"234",2014-08-06,3.0615,89
"235",2014-08-13,3.053,91
"236",2014-08-21,3.078,82
"237",2014-08-28,2.904,73
"238",2014-09-02,1.895,253
"239",2014-09-06,2.798,127
"240",2014-09-11,2.619,108
"241",2014-09-17,3.645,140
"242",2014-09-24,1.537,119
"243",2014-10-01,2.993,104
"244",2014-10-09,3.34,110
"245",2014-10-10,0.641,1500
"246",2014-10-13,0.687,1470
"247",2014-10-23,3.679,132
"248",2014-10-29,3.302,114
"249",2014-11-06,3.05,133
"250",2014-11-13,3.768,104
"251",2014-11-19,4.166,96
"252",2014-12-02,3.886,104
"253",2014-12-11,4.231,114
"254",2014-12-17,3.565,154
"255",2015-01-08,4.514,128
"256",2015-01-15,4.461,115
"257",2015-01-21,3.996,109
"258",2015-01-29,4.111,99
"259",2015-02-04,3.799,106
"260",2015-02-11,3.71575,96
"261",2015-02-18,3.766,93
"262",2015-02-25,3.8569,123
"263",2015-03-06,2.954,154
"264",2015-03-11,2.895,167
"265",2015-03-14,1.573,434
"266",2015-03-19,3.122,219
"267",2015-03-26,1.172,666
"268",2015-04-01,3.613,197
"269",2015-04-14,3.803,162
"270",2015-04-22,3.6705,161
"271",2015-04-29,3.796,146
"272",2015-05-08,1.293,492
"273",2015-05-24,0.737,1270
"274",2015-06-01,3.266,355
"275",2015-06-19,0.672,3080
